Executed,Date,Income account,Income amount,Income balance,Expense account,Expense amount,Expense balance,Comment,Category of Статья,Category of Агент,Category of Проект
+,6/07/2012 22:28,,,,RUR - Наличные,-120,"46,745.00",линзы однодневки - пробные,\Все статьи расхода\Здоровье,\Все платёжные агенты\Света,
+,7/07/2012 13:07,,,,RUR - Наличные,-17,"46,728.00",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,7/07/2012 22:27,,,,RUR - Наличные,-159.6,"46,568.40",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,8/07/2012 13:07,,,,RUR - Наличные,-17,"46,551.40",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,8/07/2012 22:06,,,,RUR - Наличные,-150,"46,401.40",,\Все статьи расхода\Обучение,\Все платёжные агенты\Света,\Все проекты\Вождение
+,8/07/2012 22:15,,,,RUR - CitiBank Credit Card,-325,"160,401.46",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,8/07/2012 22:19,,,,RUR - Наличные,-122.3,"46,279.10",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,8/07/2012 22:24,,,,RUR - Наличные,-122,"46,157.10",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,8/07/2012 22:39,RUR - CitiBank Credit Card V,"4,000.00","264,194.70",RUR - CitiBank Card V,"-4,000.00","27,644.10",,,,
+,9/07/2012 20:44,,,,RUR - Наличные,-443,"45,714.10",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,9/07/2012 21:43,,,,RUR - CitiBank Credit Card V,"-1,189.50","263,005.20",кораблик,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Архипп,
+,10/07/2012 19:07,,,,RUR - CitiBank Credit Card V,-118.24,"262,886.96",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,11/07/2012 21:22,RUR - CitiBank Credit Card,"48,000.00","208,401.46",,,,,\Все статьи прихода\Доходы по вкладам,\Все платёжные агенты\Света,
+,11/07/2012 21:47,,,,RUR - Наличные,-200,"45,514.10",,\Все статьи расхода\Обучение,\Все платёжные агенты\Света,\Все проекты\Вождение
+,12/07/2012 18:56,,,,RUR - CitiBank Credit Card,-300,"208,101.46",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,12/07/2012 18:56,,,,RUR - CitiBank Credit Card,-232,"207,869.46",,\Все статьи расхода\Здоровье\Лекарства,\Все платёжные агенты\Света,
,12/07/2012 21:35,,,,RUR - Наличные,"-5,000.00",,,\Все статьи расхода\Долг,\Все платёжные агенты\Света,
+,13/07/2012 21:42,,,,RUR - Наличные,-292,"45,222.10",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Вадим,
+,14/07/2012 19:07,,,,RUR - CitiBank Credit Card V,"-1,673.79","261,213.17",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,14/07/2012 19:07,,,,RUR - CitiBank Credit Card V,-309.5,"260,903.67",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,14/07/2012 21:31,,,,RUR - Наличные,"-7,960.00","37,262.10",,\Все статьи расхода\Транспорт\Авто\Ремонт,\Все платёжные агенты\Вадим,
+,14/07/2012 21:37,,,,RUR - Наличные,-230,"37,032.10",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты,
+,14/07/2012 21:37,,,,RUR - Наличные,-50,"36,982.10",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,14/07/2012 21:38,,,,RUR - Наличные,-183,"36,799.10",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,14/07/2012 21:38,,,,RUR - Наличные,-111.4,"36,687.70",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Архипп,
+,14/07/2012 21:47,,,,RUR - Наличные,-200,"36,487.70",,\Все статьи расхода\Обучение,\Все платёжные агенты\Света,\Все проекты\Вождение
+,14/07/2012 22:15,,,,RUR - CitiBank Credit Card,"-1,433.07","206,436.39",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,15/07/2012 21:36,,,,RUR - Наличные,-420,"36,067.70",,\Все статьи расхода\Одежда,\Все платёжные агенты\Архипп,
+,15/07/2012 21:47,,,,RUR - Наличные,-150,"35,917.70",,\Все статьи расхода\Обучение,\Все платёжные агенты\Света,\Все проекты\Вождение
+,15/07/2012 22:15,,,,RUR - CitiBank Credit Card,"-3,500.00","202,936.39",,\Все статьи расхода\Техника\Бытовая техника,\Все платёжные агенты\Света,
+,16/07/2012 21:16,RUR - CitiBank Credit Card V,"13,100.00","274,003.67",RUR - CitiBank Card V,"-13,100.00","14,544.10",,,,
+,16/07/2012 21:28,RUR - CitiBank Card,"7,000.00","12,127.64",RUR - CitiBank Card V,"-7,000.00","7,544.10",,,,
+,16/07/2012 21:30,RUR - CitiBank Credit Card,"7,300.00","210,236.39",RUR - CitiBank Card,"-7,300.00","4,827.64",,,,
+,16/07/2012 21:35,,,,RUR - Наличные,"-3,000.00","32,917.70",,\Все статьи расхода\Дом\Квартплата,\Все платёжные агенты\Света,
+,16/07/2012 21:43,,,,RUR - Наличные,-70.52,"32,847.18",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,16/07/2012 21:58,,,,RUR - Наличные,"-1,221.88","31,625.30",не понятно на что,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,16/07/2012 22:15,,,,RUR - CitiBank Credit Card,-193.7,"210,042.69",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,17/07/2012 18:19,,,,RUR - Наличные,-654,"30,971.30",пальчиковые краски,"\Все статьи расхода\Досуг, развлечения",\Все платёжные агенты\Архипп,
+,17/07/2012 18:20,,,,RUR - Наличные,-97,"30,874.30",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,17/07/2012 21:00,,,,RUR - CitiBank Credit Card V,"-1,425.00","272,578.67",коврик,\Все статьи расхода\Дом,,
+,17/07/2012 21:00,,,,RUR - CitiBank Credit Card V,-988,"271,590.67",стульчик+обувь,\Все статьи расхода\Дом,\Все платёжные агенты\Вадим,
+,17/07/2012 22:06,,,,RUR - Наличные,"-1,000.00","29,874.30",,"\Все статьи расхода\Досуг, развлечения",\Все платёжные агенты\Вадим,
+,17/07/2012 22:06,,,,RUR - Наличные,-270,"29,604.30",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,18/07/2012 22:40,,,,RUR - CitiBank Card,-30,"4,797.64",,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,19/07/2012 21:48,,,,RUR - Наличные,-120,"29,484.30",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,19/07/2012 21:49,,,,RUR - Наличные,-354.6,"29,129.70",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,19/07/2012 21:51,,,,RUR - Наличные,-230.54,"28,899.16",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,19/07/2012 22:00,,,,RUR - Наличные,-200,"28,699.16",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,20/07/2012 21:02,RUR - Наличные,"4,206.70","32,905.86",RUR - CitiBank Credit Card V,"-4,206.70","267,383.97",,,,
+,20/07/2012 21:02,,,,RUR - CitiBank Credit Card V,-488,"266,895.97",ведерко,"\Все статьи расхода\Досуг, развлечения",\Все платёжные агенты\Вадим,
+,20/07/2012 21:04,RUR - CitiBank Card V,"34,800.00","42,344.10",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Вадим,
+,20/07/2012 21:37,,,,RUR - CitiBank Credit Card,-163.67,"209,879.02",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,20/07/2012 21:48,,,,RUR - Наличные,-620,"32,285.86",,\Все статьи расхода\Обучение,\Все платёжные агенты\Архипп,
+,20/07/2012 21:52,,,,RUR - Наличные,-49,"32,236.86",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,20/07/2012 21:55,,,,RUR - Наличные,-548.44,"31,688.42",фрукты,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,21/07/2012 19:07,,,,RUR - CitiBank Credit Card V,"-1,146.83","265,749.14",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,21/07/2012 19:07,,,,RUR - CitiBank Credit Card V,-619.6,"265,129.54",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,21/07/2012 21:43,RUR - Наличные,"32,600.00","64,288.42",,,,,\Все статьи прихода\Зарплата\наличные,\Все платёжные агенты\Вадим,
+,21/07/2012 21:54,,,,RUR - Наличные,-93.14,"64,195.28",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,21/07/2012 21:57,,,,RUR - Наличные,-55.8,"64,139.48",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,22/07/2012 21:33,RUR - CitiBank Credit Card V,"9,000.00","274,129.54",RUR - CitiBank Card V,"-9,000.00","33,344.10",,,,
+,22/07/2012 21:47,,,,RUR - Наличные,-300,"63,839.48",,\Все статьи расхода\Обучение,\Все платёжные агенты\Света,\Все проекты\Вождение
+,22/07/2012 21:53,,,,RUR - Наличные,-42.48,"63,797.00",usb,\Все статьи расхода\Техника,\Все платёжные агенты\Вадим,
+,22/07/2012 21:55,,,,RUR - Наличные,-531.8,"63,265.20",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Архипп,
+,23/07/2012 21:03,,,,RUR - Наличные,-70,"63,195.20",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,23/07/2012 21:43,,,,RUR - CitiBank Credit Card V,"-1,067.50","273,062.04",кораблик,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Архипп,
+,23/07/2012 21:57,,,,RUR - Наличные,-90,"63,105.20",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,24/07/2012 9:32,,,,RUR - Наличные,-226,"62,879.20",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,24/07/2012 18:34,,,,RUR - Наличные,-341.5,"62,537.70",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,26/07/2012 9:37,,,,RUR - Наличные,-256,"62,281.70",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,26/07/2012 19:07,,,,RUR - CitiBank Credit Card V,-343.95,"272,718.09",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,27/07/2012 8:50,RUR - CitiBank Credit Card V,248.45,"272,966.54",,,,,\Все статьи прихода\Доходы по вкладам,\Все платёжные агенты\Вадим,
+,27/07/2012 15:27,,,,RUR - CitiBank Credit Card,-200,"209,679.02",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,27/07/2012 21:37,,,,RUR - CitiBank Credit Card,-175.47,"209,503.55",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,28/07/2012 9:03,,,,RUR - CitiBank Credit Card,"-1,199.00","208,304.55",годовое обслуживание,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,28/07/2012 9:04,,,,RUR - CitiBank Credit Card,-467,"207,837.55",,\Все статьи расхода\Одежда,\Все платёжные агенты\Архипп,
+,28/07/2012 9:32,,,,RUR - Наличные,"-1,600.00","60,681.70",,\Все статьи расхода\Здоровье\Мед. услуги,\Все платёжные агенты\Архипп,
+,28/07/2012 9:34,,,,RUR - Наличные,-142,"60,539.70",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты\Света,
+,28/07/2012 21:37,,,,RUR - CitiBank Credit Card,-599,"207,238.55",,\Все статьи расхода\Одежда,\Все платёжные агенты\Вадим,
+,29/07/2012 9:36,,,,RUR - Наличные,-250,"60,289.70",парковка,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,30/07/2012 9:07,RUR - CitiBank Credit Card,55.53,"207,294.08",,,,,\Все статьи прихода\Доходы по вкладам,\Все платёжные агенты\Света,
+,30/07/2012 9:35,,,,RUR - Наличные,-200,"60,089.70",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,30/07/2012 9:35,,,,RUR - Наличные,"-1,000.00","59,089.70",,\Все статьи расхода\Транспорт\Авто\Бензин,\Все платёжные агенты\Вадим,
+,30/07/2012 9:36,,,,RUR - Наличные,-100,"58,989.70",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Архипп,
+,30/07/2012 9:38,,,,RUR - Наличные,"-1,000.00","57,989.70",,\Все статьи расхода\Связь\Интернет,\Все платёжные агенты\Света,
+,30/07/2012 19:07,,,,RUR - CitiBank Credit Card V,-333.09,"272,633.45",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,31/07/2012 9:07,,,,RUR - CitiBank Credit Card,-65,"207,229.08",,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,31/07/2012 9:37,,,,RUR - Наличные,-250,"57,739.70",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,1/08/2012 8:50,,,,RUR - CitiBank Credit Card V,-65,"272,568.45",,\Все статьи расхода\%,\Все платёжные агенты\Вадим,
+,1/08/2012 8:52,,,,RUR - CitiBank Credit Card V,-999,"271,569.45",,\Все статьи расхода\Дом\Бытовая химия,\Все платёжные агенты\Вадим,
+,1/08/2012 8:55,,,,RUR - CitiBank Card V,-65,"33,279.10",,\Все статьи расхода\%,\Все платёжные агенты\Вадим,
+,1/08/2012 9:16,,,,RUR - Сбербанк Card,-60,"2,939.60",,\Все статьи расхода\%,\Все платёжные агенты\Вадим,
+,1/08/2012 9:18,RUR - Наличные,"9,700.00","67,439.70",,,,,\Все статьи прихода\Зарплата\наличные,\Все платёжные агенты\Вадим,
+,1/08/2012 9:18,,,,RUR - Наличные,"-1,500.00","65,939.70",работа,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Вадим,
+,1/08/2012 9:18,,,,RUR - Наличные,-500,"65,439.70",работа,\Все статьи расхода\Благотворительность,\Все платёжные агенты\Вадим,
+,1/08/2012 19:07,,,,RUR - CitiBank Credit Card V,-663.01,"270,906.44",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,1/08/2012 19:07,,,,RUR - CitiBank Credit Card V,-226.2,"270,680.24",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,1/08/2012 22:40,,,,RUR - CitiBank Card,-65,"4,732.64",,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,2/08/2012 8:52,,,,RUR - CitiBank Credit Card V,"-2,080.00","268,600.24",икея,\Все статьи расхода\Дом,\Все платёжные агенты\Архипп,
+,3/08/2012 8:54,RUR - CitiBank Card V,"34,256.00","67,535.10",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Вадим,
+,3/08/2012 9:33,,,,RUR - Наличные,-130,"65,309.70",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,4/08/2012 7:39,,,,RUR - Наличные,"-2,648.70","62,661.00",??????????????????,,,
+,4/08/2012 7:59,,,,RUR - CitiBank Credit Card,"-1,232.72","205,996.36",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,4/08/2012 7:59,,,,RUR - CitiBank Credit Card,-632,"205,364.36",,\Все статьи расхода\Средства гигиены и косметика,\Все платёжные агенты\Света,
+,4/08/2012 8:34,,,,RUR - Наличные,-420,"62,241.00",линзы,\Все статьи расхода\Здоровье\Мед. услуги,\Все платёжные агенты\Света,
+,4/08/2012 8:34,,,,RUR - Наличные,-640,"61,601.00",носки,\Все статьи расхода\Одежда,\Все платёжные агенты\Вадим,
+,4/08/2012 9:09,,,,RUR - Наличные,-300,"61,301.00",,\Все статьи расхода\Обучение,\Все платёжные агенты\Света,\Все проекты\Вождение
+,4/08/2012 9:11,RUR - CitiBank Credit Card,800,"206,164.36",RUR - CitiBank Card,-800,"3,932.64",,,,
+,4/08/2012 9:14,RUR - CitiBank Credit Card V,"5,400.00","274,000.24",RUR - CitiBank Card V,"-5,400.00","62,135.10",,,,
+,4/08/2012 15:43,RUR - Сбербанк Card,"51,000.00","53,939.60",RUR - Наличные,"-51,000.00","10,301.00",,,,
+,5/08/2012 9:10,,,,RUR - Наличные,-405,"9,896.00",,\Все статьи расхода\Здоровье\Лекарства,\Все платёжные агенты,
+,5/08/2012 9:10,,,,RUR - Наличные,-452,"9,444.00",,\Все статьи расхода\Здоровье\Лекарства,\Все платёжные агенты,
+,5/08/2012 9:10,,,,RUR - Наличные,-84.8,"9,359.20",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,5/08/2012 19:13,RUR - Сбербанк Универсальный,"52,005.00","58,000.38",RUR - Сбербанк Card,"-52,005.00","1,934.60",,,,
+,5/08/2012 21:40,,,,RUR - Наличные,-400,"8,959.20",ремонт,\Все статьи расхода\Одежда\обувь,\Все платёжные агенты\Вадим,
+,6/08/2012 8:04,,,,RUR - CitiBank Credit Card,-500,"205,664.36",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,6/08/2012 9:03,,,,RUR - CitiBank Credit Card,-217,"205,447.36",,\Все статьи расхода\Средства гигиены и косметика,\Все платёжные агенты\Света,
+,6/08/2012 9:10,,,,RUR - Наличные,-258.37,"8,700.83",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,7/08/2012 7:41,,,,RUR - CitiBank Credit Card V,-215.12,"273,785.12",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,7/08/2012 7:41,,,,RUR - CitiBank Credit Card V,-210.83,"273,574.29",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,7/08/2012 9:10,,,,RUR - Наличные,-133,"8,567.83",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,8/08/2012 8:19,RUR - Авангард Card,"13,883.33","27,857.64",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Света,
+,8/08/2012 9:10,,,,RUR - Наличные,-68,"8,499.83",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,8/08/2012 9:10,,,,RUR - Наличные,-476.65,"8,023.18",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,9/08/2012 8:00,,,,RUR - CitiBank Credit Card,-471,"204,976.36",для Олеси,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Света,
+,9/08/2012 9:10,,,,RUR - Наличные,-360,"7,663.18",,"\Все статьи расхода\Досуг, развлечения",\Все платёжные агенты\Архипп,
+,10/08/2012 9:10,,,,RUR - Наличные,-288,"7,375.18",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,11/08/2012 7:41,,,,RUR - CitiBank Credit Card V,"-1,997.00","271,577.29",,\Все статьи расхода\Средства гигиены и косметика,\Все платёжные агенты\Архипп,
+,11/08/2012 7:41,,,,RUR - CitiBank Credit Card V,-821.95,"270,755.34",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,11/08/2012 7:59,,,,RUR - CitiBank Credit Card,-359,"204,617.36",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,11/08/2012 7:59,,,,RUR - CitiBank Credit Card,-229,"204,388.36",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Архипп,
+,11/08/2012 7:59,,,,RUR - CitiBank Credit Card,"-1,325.50","203,062.86",одежда+памперсы+еда,\Все статьи расхода\Одежда,\Все платёжные агенты\Архипп,
+,11/08/2012 7:59,,,,RUR - CitiBank Credit Card,-230.3,"202,832.56",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,11/08/2012 8:19,RUR - Наличные,"27,800.00","35,175.18",RUR - Авангард Card,"-27,800.00",57.64,,,,
+,12/08/2012 9:09,,,,RUR - Наличные,-350,"34,825.18",,\Все статьи расхода\Обучение,\Все платёжные агенты\Света,\Все проекты\Вождение
+,13/08/2012 7:46,RUR - CitiBank Credit Card V,"3,300.00","274,055.34",RUR - CitiBank Card V,"-3,300.00","58,835.10",,,,
+,13/08/2012 8:15,RUR - CitiBank Card,"18,000.00","21,932.64",RUR - CitiBank Card V,"-18,000.00","40,835.10",,,,
+,13/08/2012 8:16,RUR - CitiBank Credit Card,"5,200.00","208,032.56",RUR - CitiBank Card,"-5,200.00","16,732.64",,,,
+,13/08/2012 9:15,,,,RUR - Наличные,-500,"34,325.18",передача доков поездом,\Все статьи расхода\Административные расходы\Оформление документов,\Все платёжные агенты\Света,
+,13/08/2012 9:15,,,,RUR - Наличные,"-1,450.78","32,874.40",фрукты - овощи за неделю,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,13/08/2012 10:35,USD - Наличные,700,905,RUR - Наличные,"-22,820.00","10,054.40",,,,
+,13/08/2012 10:35,,,,RUR - Наличные,-103,"9,951.40",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,13/08/2012 10:36,,,,RUR - Наличные,-300,"9,651.40",фото,\Все статьи расхода\Административные расходы\Оформление документов,\Все платёжные агенты\Вадим,\Все проекты\Иммиграция
+,13/08/2012 10:41,,,,RUR - Наличные,-108,"9,543.40",,\Все статьи расхода\Хомячело,\Все платёжные агенты\Вадим,
+,13/08/2012 15:55,,,,RUR - Наличные,-188,"9,355.40",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Вадим,
+,13/08/2012 15:55,,,,RUR - Наличные,-50,"9,305.40",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,13/08/2012 15:56,,,,USD - Наличные,-840,65,,\Все статьи расхода\Административные расходы\Оформление документов,\Все платёжные агенты,\Все проекты\Иммиграция
+,13/08/2012 21:50,,,,RUR - Наличные,-86,"9,219.40",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,13/08/2012 21:57,,,,RUR - CitiBank Credit Card,-180.8,"207,851.76",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,14/08/2012 21:42,,,,RUR - Наличные,-984.24,"8,235.16",,\Все статьи расхода\Транспорт\Авто\Бензин,\Все платёжные агенты\Вадим,
+,14/08/2012 21:47,,,,RUR - CitiBank Credit Card V,-981.37,"273,073.97",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,15/08/2012 21:18,,,,RUR - Наличные,-200,"8,035.16",,\Все статьи расхода\Обучение,\Все платёжные агенты\Света,\Все проекты\Вождение
+,15/08/2012 21:49,,,,RUR - Наличные,-300,"7,735.16",парковка в центре,\Все статьи расхода\Транспорт,\Все платёжные агенты,
+,16/08/2012 21:45,,,,RUR - Наличные,-337.26,"7,397.90",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,16/08/2012 21:53,RUR - Наличные,"9,000.00","16,397.90",RUR - CitiBank Card V,"-9,000.00","31,835.10",,,,
+,17/08/2012 21:38,,,,RUR - Наличные,-350,"16,047.90",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,17/08/2012 21:48,,,,RUR - CitiBank Credit Card V,"-1,777.20","271,296.77",кортеф,\Все статьи расхода\Долг,\Все платёжные агенты\Вадим,
+,17/08/2012 21:53,RUR - Наличные,"10,000.00","26,047.90",RUR - CitiBank Card V,"-10,000.00","21,835.10",,,,
+,17/08/2012 21:54,,,,RUR - Наличные,"-4,600.00","21,447.90",,\Все статьи расхода\Административные расходы\Оформление документов,\Все платёжные агенты\Вадим,\Все проекты\Иммиграция
+,18/08/2012 21:18,,,,RUR - Наличные,-300,"21,147.90",,\Все статьи расхода\Обучение,\Все платёжные агенты\Света,\Все проекты\Вождение
+,18/08/2012 21:45,,,,RUR - Наличные,-35,"21,112.90",,"\Все статьи расхода\Досуг, развлечения",\Все платёжные агенты\Света,
+,18/08/2012 21:45,,,,RUR - Наличные,-25,"21,087.90",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,19/08/2012 9:11,RUR - CitiBank Credit Card,148,"207,999.76",RUR - CitiBank Card,-148,"16,584.64",,,,
+,19/08/2012 21:19,,,,RUR - Наличные,-296,"20,791.90",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,19/08/2012 21:19,,,,RUR - Наличные,-701.5,"20,090.40",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,19/08/2012 21:50,,,,RUR - Наличные,-138.6,"19,951.80",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,19/08/2012 22:01,RUR - CitiBank Credit Card V,"2,705.00","274,001.77",RUR - CitiBank Card V,"-2,705.00","19,130.10",,,,
+,20/08/2012 11:18,,,,RUR - Наличные,-200,"19,751.80",,\Все статьи расхода\Обучение,\Все платёжные агенты\Света,\Все проекты\Вождение
+,20/08/2012 11:19,,,,RUR - Наличные,-25,"19,726.80",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,20/08/2012 20:39,RUR - CitiBank Card V,"34,800.00","53,930.10",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Вадим,
+,20/08/2012 22:40,,,,RUR - CitiBank Card,-30,"16,554.64",,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,21/08/2012 10:20,,,,RUR - Наличные,-210.8,"19,516.00",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,21/08/2012 11:36,,,,RUR - CitiBank Credit Card,-737,"207,262.76",кораблик,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Архипп,
+,21/08/2012 11:36,,,,RUR - CitiBank Credit Card,"-1,489.62","205,773.14",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,21/08/2012 11:36,,,,RUR - CitiBank Credit Card,"-1,899.88","203,873.26",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,21/08/2012 20:41,,,,RUR - Наличные,"-8,680.00","10,836.00",права,\Все статьи расхода\Административные расходы,\Все платёжные агенты\Света,
+,22/08/2012 11:38,,,,RUR - CitiBank Credit Card,-500,"203,373.26",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,22/08/2012 13:04,,,,RUR - Наличные,"-1,600.00","9,236.00",страховка,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Света,
+,22/08/2012 18:48,,,,RUR - Наличные,"-1,470.47","7,765.53",,\Все статьи расхода\Транспорт\Авто\Fee,\Все платёжные агенты\Вадим,
+,22/08/2012 18:48,,,,RUR - Наличные,"-3,000.00","4,765.53",,\Все статьи расхода\Дом\Квартплата,\Все платёжные агенты,
+,22/08/2012 19:01,,,,RUR - Наличные,-40,"4,725.53",знак,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Света,
+,23/08/2012 13:12,,,,RUR - Наличные,-40,"4,685.53",знаки,\Все статьи расхода\Транспорт\Авто\Уход,\Все платёжные агенты\Света,
+,23/08/2012 18:55,,,,RUR - Наличные,-300,"4,385.53",,\Все статьи расхода\Дом\Furniture,\Все платёжные агенты\Вадим,
+,23/08/2012 19:06,,,,RUR - Наличные,-268,"4,117.53",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
